permit_number,streetname,cross_street_1,cross_street_2,utility_contractor,permit_reason,utility_type,effective_date,expiration_date,status,cnn
25EXC-01965,SAN BRUNO AVE,03RD ST \ GIRARD ST,CAMPBELL AVE,Pacific Gas & Electric,Spot Paving,Sidewalk/Curb,2025-04-24T00:00:00.000,2025-05-22T00:00:00.000,APPROVED,11393000
25EXC-02115,LAKE MERCED BLVD,BROTHERHOOD WAY,LAKE MERCED HILL,Flock Safety,Install New Pole,Other,2025-05-19T00:00:00.000,2025-06-17T00:00:00.000,APPROVED,8052101
25EXC-01950,MONTEREY BLVD,VALDEZ AVE,COLON AVE,Pacific Gas & Electric,Spot Paving,Gas,2025-04-23T00:00:00.000,2025-05-21T00:00:00.000,APPROVED,9282201
25EXC-01953,09TH AVE,BALBOA ST,CABRILLO ST,Pacific Gas & Electric,Spot Paving,Electric,2025-04-23T00:00:00.000,2025-05-21T00:00:00.000,APPROVED,428000
25EXC-01979,NORIEGA ST,22ND AVE,23RD AVE,Pacific Gas & Electric,Repair Leak,Gas,2025-05-01T00:00:00.000,2025-06-29T00:00:00.000,APPROVED,9656000
25EXC-01634,HOWARD ST,11TH ST,LAFAYETTE ST,Pacific Gas & Electric,Spot Paving,Gas,2025-04-07T00:00:00.000,2025-05-05T00:00:00.000,ACTIVE,7057000
25EXC-02118,32ND AVE,ORTEGA ST,PACHECO ST,Pacific Gas & Electric,Other,Gas,2025-05-30T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,1714000
25EXC-02164,ELLIS ST,CYRIL MAGNIN ST,MASON ST,J. Flores Construction Co.,Replace Main,Sewer,2025-05-05T00:00:00.000,2025-05-18T00:00:00.000,ACTIVE,5171000
25EXC-02205,BOWDOIN ST,BACON ST,WAYLAND ST,A. Ruiz Construction Co.,Spot Paving,Street / Roadway,2025-05-01T00:00:00.000,2025-05-23T00:00:00.000,ACTIVE,3044000
25EXC-01880,RHODE ISLAND ST,18TH ST,19TH ST,San Francisco Water Department,Install New Service,Water Service,2025-04-10T00:00:00.000,2025-05-24T00:00:00.000,APPROVED,10998000
25EXC-01881,FILBERT ST,COLUMBUS AVE \ VIA BUFANO,SCOTLAND ST,San Francisco Water Department,Replace Service,Water Service,2025-04-10T00:00:00.000,2025-05-24T00:00:00.000,APPROVED,5505000
25EXC-02025,03RD ST,16TH ST,,Pacific Gas & Electric,Install Cathodic Protection,Gas,2025-05-20T00:00:00.000,2025-07-18T00:00:00.000,APPROVED,23578000
25EXC-01376,MARIN ST,MARIN ST,EVANS AVE,Pacific Gas & Electric,Spot Paving,Gas,2025-04-09T00:00:00.000,2025-05-07T00:00:00.000,APPROVED,8699000
25EXC-02244,29TH ST,NOE ST,CASTRO ST \ DAY ST,Pacific Gas & Electric,Replace Service,Gas,2025-06-04T00:00:00.000,2025-08-02T00:00:00.000,APPROVED,1634000
25EXC-01975,MISSION ST,24TH ST,25TH ST,Pacific Bell Telephone Company,Repair Conduit,Telephone,2025-05-05T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,9126000
25EXC-01979,22ND AVE,NORIEGA ST,,Pacific Gas & Electric,Repair Leak,Gas,2025-05-01T00:00:00.000,2025-06-29T00:00:00.000,APPROVED,27340000
25EXC-01979,22ND AVE,MORAGA ST,NORIEGA ST,Pacific Gas & Electric,Repair Leak,Gas,2025-05-01T00:00:00.000,2025-06-29T00:00:00.000,APPROVED,1144000
22EXC-01930,GENEVA AVE,CIELITO DR,ESQUINA DR,"Intermountain Infrastructure Group, LLC",Place Conduit,Data,2025-04-28T00:00:00.000,2025-06-13T00:00:00.000,ACTIVE,6151201
25EXC-01867,10TH ST,BRYANT ST \ HWY 101 S ON RAMP,BRANNAN ST \ DIVISION ST \ POTRERO AVE,Pacific Gas & Electric,Replace/Repair Box,Electric,2025-04-18T00:00:00.000,2025-05-16T00:00:00.000,APPROVED,491000
25EXC-01946,GATES ST,CRESCENT AVE,END,Pacific Gas & Electric,Spot Paving,Electric,2025-04-23T00:00:00.000,2025-05-21T00:00:00.000,APPROVED,6028000
25EXC-02186,FILBERT ST,FRANKLIN ST,GOUGH ST,Pacific Gas & Electric,Replace Pole,Electric,2025-06-05T00:00:00.000,2025-07-03T00:00:00.000,APPROVED,5516000
25EXC-01936,25TH AVE,VICENTE ST,ROSEMARY CT,Pacific Gas & Electric,Spot Paving,Electric,2025-04-14T00:00:00.000,2025-05-12T00:00:00.000,APPROVED,1393000
25EXC-01918,HOWARD ST,RAUSCH ST,SUMNER ST,ITG Communications LLC,Install New Service,Cable TV,2025-04-14T00:00:00.000,2025-05-12T00:00:00.000,APPROVED,7049000
25EXC-01779,CLAY ST,HYDE ST,TORRENS CT,Pacific Gas & Electric,Other,Gas,2025-05-02T00:00:00.000,2025-05-30T00:00:00.000,ACTIVE,4104001
25EXC-01996,CORTLAND AVE,BOCANA ST,BENNINGTON ST,Pacific Bell Telephone Company,Repair Conduit,Telephone,2025-05-05T00:00:00.000,2025-05-30T00:00:00.000,ACTIVE,4423000
25EXC-02251,MISSION ST,16TH ST,17TH ST,"Phase 3 Communications, Inc.",Repair Conduit,Data,2025-05-17T00:00:00.000,2025-05-19T00:00:00.000,APPROVED,9116000
25EXC-01546,WESTGATE DR,DARIEN WAY,MONTEREY BLVD,Pacific Gas & Electric,Install new box,Electric,2025-04-25T00:00:00.000,2025-05-23T00:00:00.000,APPROVED,13586000
25EXC-01891,BAY SHORE BLVD,PAUL AVE,,Pacific Gas & Electric,Spot Paving,Gas,2025-05-23T00:00:00.000,2025-06-20T00:00:00.000,APPROVED,20574000
25EXC-01967,48TH AVE,MORAGA ST,NORIEGA ST,Pacific Gas & Electric,Spot Paving,Gas,2025-04-24T00:00:00.000,2025-05-22T00:00:00.000,APPROVED,2071000
25EXC-02285,03RD ST,KIRKWOOD AVE,LA SALLE AVE,A. Ruiz Construction Co.,Spot Paving,Street / Roadway,2025-05-05T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,208201
25EXC-01989,GRIFFITH ST,START: 0-0 BLOCK,INNES AVE,Pacific Gas & Electric,Replace Pole,Electric,2025-04-27T00:00:00.000,2025-05-25T00:00:00.000,APPROVED,6530000
25EXC-02191,14TH ST,SHOTWELL ST,SOUTH VAN NESS AVE,Pacific Gas & Electric,Place Conduit,Electric,2025-05-09T00:00:00.000,2025-05-11T00:00:00.000,APPROVED,581000
25EXC-01544,MONTEREY BLVD,CONGO ST,DETROIT ST,Pacific Gas & Electric,Spot Paving,Gas,2025-04-07T00:00:00.000,2025-05-05T00:00:00.000,APPROVED,9275101
25EXC-02163,GUERRERO ST,24TH ST,25TH ST,J. Flores Construction Co.,Replace Service,Sewer,2025-04-28T00:00:00.000,2025-05-11T00:00:00.000,ACTIVE,6586101
25EXC-01922,EDDY ST,MASON ST,TAYLOR ST,Pacific Gas & Electric,Other,Electric,2025-04-14T00:00:00.000,2025-05-16T00:00:00.000,ACTIVE,5059000
25EXC-01964,CARL ST,CLAYTON ST,COLE ST,Pacific Gas & Electric,Spot Paving,Gas,2025-04-24T00:00:00.000,2025-05-22T00:00:00.000,APPROVED,3694000
25EXC-01537,BRENTWOOD AVE,MANGELS AVE,HAZELWOOD AVE,Pacific Gas & Electric,Spot Paving,Gas,2025-04-14T00:00:00.000,2025-05-12T00:00:00.000,APPROVED,3107000
25EXC-01944,MADRID ST,EXCELSIOR AVE,BRAZIL AVE,Pacific Gas & Electric,Repair Leak,Gas,2025-04-21T00:00:00.000,2025-06-19T00:00:00.000,APPROVED,8606000
25EXC-01939,GAVEN ST,BOYLSTON ST,BOWDOIN ST,Pacific Gas & Electric,Spot Paving,Gas,2025-04-14T00:00:00.000,2025-05-12T00:00:00.000,APPROVED,6035000
25EXC-01957,JUDAH ST,06TH AVE,07TH AVE,Pacific Gas & Electric,Cut-Off Service,Street / Roadway,2025-05-05T00:00:00.000,2025-06-02T00:00:00.000,APPROVED,7641000
25EXC-01538,17TH ST,KANSAS ST,VERMONT ST,Pacific Gas & Electric,Repair Leak,Gas,2025-04-07T00:00:00.000,2025-05-05T00:00:00.000,APPROVED,782000
25EXC-01979,NORIEGA ST,21ST AVE,22ND AVE,Pacific Gas & Electric,Repair Leak,Gas,2025-05-01T00:00:00.000,2025-06-29T00:00:00.000,APPROVED,9655000
22EXC-01930,GENEVA AVE,ESQUINA DR,CARRIZAL ST,"Intermountain Infrastructure Group, LLC",Place Conduit,Data,2025-04-28T00:00:00.000,2025-06-13T00:00:00.000,ACTIVE,6152201
25EXC-01965,SAN BRUNO AVE,SOMERSET ST,TEDDY AVE \ WABASH TER,Pacific Gas & Electric,Spot Paving,Sidewalk/Curb,2025-04-24T00:00:00.000,2025-05-22T00:00:00.000,APPROVED,11396000
25EXC-01942,SABIN PL,CALIFORNIA ST,END: 1-99 BLOCK,Pacific Gas & Electric,Place Facilities Underground,Electric,2025-06-02T00:00:00.000,2025-06-30T00:00:00.000,APPROVED,11219000
25EXC-01921,EDDY ST,VAN NESS AVE,FRANKLIN ST,CableCom,Repair Service,Cable TV,2025-04-15T00:00:00.000,2025-05-13T00:00:00.000,ACTIVE,5066000
25EXC-02182,CARL ST,STANYAN ST,WILLARD ST,Pacific Gas & Electric,Replace Pole,Electric:Electric:Electric,2025-05-05T00:00:00.000,2025-06-02T00:00:00.000,APPROVED,3697000
25EXC-01965,SAN BRUNO AVE,BEEMAN LN,SOMERSET ST,Pacific Gas & Electric,Spot Paving,Sidewalk/Curb,2025-04-24T00:00:00.000,2025-05-22T00:00:00.000,APPROVED,11395000
25EXC-02259,FOLSOM ST,CESAR CHAVEZ ST,PRECITA AVE,Pacific Bell Telephone Company,Repair Conduit,Telephone,2025-05-27T00:00:00.000,2025-06-20T00:00:00.000,APPROVED,5702000
25EXC-01984,20TH ST,VALENCIA ST,GUERRERO ST,Pacific Gas & Electric,Replace Pole,Electric,2025-04-24T00:00:00.000,2025-05-22T00:00:00.000,ACTIVE,1059000
25EXC-01965,SAN BRUNO AVE,CAMPBELL AVE,BEEMAN LN,Pacific Gas & Electric,Spot Paving,Sidewalk/Curb,2025-04-24T00:00:00.000,2025-05-22T00:00:00.000,APPROVED,11394000
25EXC-01542,CALIFORNIA ST,PIERCE ST,SCOTT ST,Pacific Gas & Electric,Spot Paving,Gas,2025-04-28T00:00:00.000,2025-05-26T00:00:00.000,APPROVED,3560000
25EXC-01922,ELLIS ST,TAYLOR ST,JONES ST,Pacific Gas & Electric,Other,Electric,2025-04-14T00:00:00.000,2025-05-16T00:00:00.000,ACTIVE,5173000
25EXC-02180,LOMBARD ST,FILLMORE ST,STEINER ST,Pacific Gas & Electric,Other,Gas,2025-05-02T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,8460101
25EXC-01966,VAN NESS AVE,CHESTNUT ST,FRANCISCO ST,Pacific Gas & Electric,Spot Paving,Gas,2025-04-24T00:00:00.000,2025-05-22T00:00:00.000,APPROVED,13171201
25EXC-01938,NORIEGA ST,32ND AVE,33RD AVE,Pacific Gas & Electric,Spot Paving,Gas,2025-04-14T00:00:00.000,2025-05-12T00:00:00.000,APPROVED,9666000
25EXC-01844,STOCKTON ST,SACRAMENTO ST \ STOCKTON TUNL,CLAY ST,Pacific Gas & Electric,Repair Leak,Gas,2025-04-22T00:00:00.000,2025-05-20T00:00:00.000,ACTIVE,12204000
25EXC-01922,ELLIS ST,MASON ST,TAYLOR ST,Pacific Gas & Electric,Other,Electric,2025-04-14T00:00:00.000,2025-05-16T00:00:00.000,ACTIVE,5172000
25EXC-00598,HERMANN ST,BUCHANAN ST,WEBSTER ST,Pacific Gas & Electric,Replace Pole,Electric,2025-05-05T00:00:00.000,2025-06-02T00:00:00.000,APPROVED,6886000
25EXC-01661,NORTH POINT ST,BUCHANAN ST,WEBSTER ST,Pacific Gas & Electric,Spot Paving,Gas,2025-04-08T00:00:00.000,2025-05-06T00:00:00.000,ACTIVE,9699000
25EXC-01922,EDDY ST,TAYLOR ST,JONES ST,Pacific Gas & Electric,Other,Electric,2025-04-14T00:00:00.000,2025-05-16T00:00:00.000,ACTIVE,5060000
25EXC-02193,36TH AVE,UNNAMED 010,GEARY BLVD,Pacific Gas & Electric,Repair Leak,Gas,2025-05-20T00:00:00.000,2025-06-17T00:00:00.000,APPROVED,1790000
25EXC-01922,EDDY ST,TAYLOR ST,,Pacific Gas & Electric,Other,Electric,2025-04-14T00:00:00.000,2025-05-16T00:00:00.000,ACTIVE,24925000
25EXC-02166,ALABAMA ST,MULLEN AVE,MONTCALM ST,J. Flores Construction Co.,Replace Service,Sewer,2025-04-28T00:00:00.000,2025-05-11T00:00:00.000,ACTIVE,2124000
24EXC-03498,TOLAND ST,EVANS AVE \ NAPOLEON ST,GALVEZ AVE,Mitchell Engineering. Inc.,Install service,Sidewalk/Curb:Street / Roadway:Other:Electric:AWSS,2024-12-02T00:00:00.000,2026-06-05T00:00:00.000,APPROVED,12622000
24EXC-00224,BERKELEY WAY,DIAMOND HEIGHTS BLVD,,A. Ruiz Construction Co.,Replace Main,Sidewalk/Curb:Catch Basin:Sewer:Street / Roadway:Curb Ramp:Pavement Preservation:Water Service,2024-03-05T00:00:00.000,2025-08-31T00:00:00.000,ACTIVE,22282000
24EXC-02547,FRANKLIN ST,OFARRELL ST \ STARR KING WAY,,"JDB Construction, INC.",Corrosion Testing,Street / Roadway:Sewer:Curb Ramp:Catch Basin:Sidewalk/Curb,2024-09-01T00:00:00.000,2026-02-02T00:00:00.000,APPROVED,25196000
25EXC-01727,06TH ST,STEVENSON ST,JESSIE ST,Energy Center San Francisco,Repair Leak,Steam,2025-04-11T00:00:00.000,2025-05-09T00:00:00.000,APPROVED,327000
25EXC-01852,RUDDEN AVE,OTSEGO AVE,DELANO AVE,Pacific Gas & Electric,Spot Paving,Electric,2025-04-17T00:00:00.000,2025-05-15T00:00:00.000,APPROVED,11182000
25EXC-01918,HOWARD ST,07TH ST,LANGTON ST,ITG Communications LLC,Install New Service,Cable TV,2025-04-14T00:00:00.000,2025-05-12T00:00:00.000,APPROVED,7047000
25EXC-02208,REVERE AVE,LANE ST,03RD ST \ BAY VIEW ST,A. Ruiz Construction Co.,Spot Paving,Street / Roadway,2025-05-01T00:00:00.000,2025-05-23T00:00:00.000,ACTIVE,10978000
25EXC-01711,PINE ST,FRANKLIN ST,GOUGH ST,A. Ruiz Construction Co.,Spot Paving,Street / Roadway,2025-04-14T00:00:00.000,2025-05-09T00:00:00.000,APPROVED,10479000
25EXC-01937,POMONA ST,BAY VIEW ST,THORNTON AVE,Pacific Gas & Electric,Spot Paving,Gas,2025-04-14T00:00:00.000,2025-05-12T00:00:00.000,APPROVED,10589000
25EXC-01346,FRANCISCO ST,ALHAMBRA ST \ SCOTT ST,DIVISADERO ST,Pacific Gas & Electric,Replace/Repair Box,Sidewalk/Curb,2025-04-07T00:00:00.000,2025-05-05T00:00:00.000,ACTIVE,5775000
25EXC-02132,GUERRERO ST,22ND ST,ALVARADO ST,Pacific Gas & Electric,Replace/Repair Box,Electric,2025-04-22T00:00:00.000,2025-06-20T00:00:00.000,ACTIVE,6584101
25EXC-01823,NOE ST,15TH ST,BEAVER ST,Pacific Gas & Electric,Install new box,Electric,2025-04-28T00:00:00.000,2025-05-26T00:00:00.000,ACTIVE,9610000
25EXC-01142,CENTRAL AVE,HAYES ST,GROVE ST,Pacific Gas & Electric,Replace Pole,Electric,2025-05-16T00:00:00.000,2025-06-13T00:00:00.000,APPROVED,3864000
25EXC-01814,UTAH ST,23RD ST,24TH ST,Pacific Gas & Electric,Spot Paving,Electric,2025-04-11T00:00:00.000,2025-05-09T00:00:00.000,APPROVED,13044000
25EXC-01693,20TH ST,NOE ST,,San Francisco Water Department,Install New Service,Water Service,2025-04-02T00:00:00.000,2025-05-16T00:00:00.000,APPROVED,33616000
25EXC-01696,ELLIS ST,POWELL ST,CYRIL MAGNIN ST,San Francisco Water Department,Repair Service,Water Service,2025-04-02T00:00:00.000,2025-05-16T00:00:00.000,APPROVED,5170000
25EXC-01657,22ND AVE,MORAGA ST,NORIEGA ST,Pacific Gas & Electric,Repair Leak,Gas,2025-04-21T00:00:00.000,2025-05-19T00:00:00.000,ACTIVE,1144000
25EXC-01906,18TH AVE,PACHECO ST,QUINTARA ST,Pacific Gas & Electric,Spot Paving,Electric,2025-04-21T00:00:00.000,2025-05-19T00:00:00.000,ACTIVE,842000
25EXC-01807,PAGE ST,BAKER ST,LYON ST,Pacific Gas & Electric,Spot Paving,Electric,2025-04-15T00:00:00.000,2025-05-13T00:00:00.000,ACTIVE,10181000
24EXC-03320,CESAR CHAVEZ ST,MARYLAND ST,MICHIGAN ST,Pacific Gas & Electric,Replace Pole,Electric,2025-05-01T00:00:00.000,2025-05-29T00:00:00.000,ACTIVE,2465000
25EXC-01718,ALBION ST,16TH ST,CAMP ST,Pacific Gas & Electric,Spot Paving,Electric,2025-04-10T00:00:00.000,2025-05-08T00:00:00.000,APPROVED,2145000
25EXC-02026,24TH ST,SAN BRUNO AVE,UTAH ST,Pacific Gas & Electric,Repair Leak,Gas,2025-05-21T00:00:00.000,2025-06-18T00:00:00.000,APPROVED,1328000
25EXC-02086,FILLMORE ST,DUBOCE AVE,HERMANN ST,CableCom,Install New Service,Cable TV,2025-04-23T00:00:00.000,2025-05-21T00:00:00.000,ACTIVE,5529000
25EXC-02109,VALLEJO ST,RUSSIAN HILL PL,JONES ST,CableCom,Install New Service,Cable TV,2025-04-23T00:00:00.000,2025-05-21T00:00:00.000,ACTIVE,13102000
25EXC-02109,VALLEJO ST,JONES ST,LEAVENWORTH ST,CableCom,Install New Service,Cable TV,2025-04-23T00:00:00.000,2025-05-21T00:00:00.000,ACTIVE,13103000
25EXC-01172,LELAND AVE,CORA ST,DELTA ST,Pacific Gas & Electric,Replace Pole,Electric,2025-05-19T00:00:00.000,2025-06-16T00:00:00.000,APPROVED,8297000
25EXC-02240,18TH AVE,NORIEGA ST,ORTEGA ST,Pacific Gas & Electric,Replace Pole,Electric:Electric:Electric,2025-05-08T00:00:00.000,2025-06-05T00:00:00.000,APPROVED,840000
25EXC-01890,INGALLS ST,ARMSTRONG AVE,BANCROFT AVE,Pacific Gas & Electric,Replace Pole,Electric,2025-04-16T00:00:00.000,2025-05-14T00:00:00.000,APPROVED,7234000
25EXC-02228,PHELPS ST,DONNER AVE,EGBERT AVE,A. Ruiz Construction Co.,Spot Paving,Street / Roadway,2025-05-05T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,10411000
25EXC-02156,DOLORES ST,MARKET ST,14TH ST,CableCom,Install New Service,Cable TV,2025-04-30T00:00:00.000,2025-05-28T00:00:00.000,APPROVED,4861201
25EXC-01719,MELROSE AVE,CONGO ST,DETROIT ST,Pacific Gas & Electric,Spot Paving,Electric,2025-04-10T00:00:00.000,2025-05-08T00:00:00.000,APPROVED,8946000
25EXC-02263,36TH AVE,RIVERA ST,SANTIAGO ST,Pacific Gas & Electric,Replace Pole,Electric,2025-05-29T00:00:00.000,2025-06-26T00:00:00.000,APPROVED,1812000
24EXC-03320,MARYLAND ST,26TH ST,CESAR CHAVEZ ST,Pacific Gas & Electric,Replace Pole,Electric,2025-05-01T00:00:00.000,2025-05-29T00:00:00.000,ACTIVE,8798000
25EXC-02222,ALOHA AVE,14TH AVE \ 15TH AVE,LOMITA AVE,J. Flores Construction Co.,Replace Main,Sewer,2025-05-05T00:00:00.000,2025-05-18T00:00:00.000,ACTIVE,2209000
25EXC-01627,LOCUST ST,CLAY ST,SACRAMENTO ST,Pacific Gas & Electric,Place Conduit,Street / Roadway:Sidewalk/Curb,2025-04-21T00:00:00.000,2025-05-19T00:00:00.000,ACTIVE,8424000
25EXC-01687,ARLETA AVE,DELTA ST,ELLIOT ST,Pacific Gas & Electric,Spot Paving,Gas,2025-04-09T00:00:00.000,2025-05-07T00:00:00.000,APPROVED,2446000
25EXC-02153,PERSIA AVE,MUNICH ST,PRAGUE ST,Pacific Gas & Electric,Corrosion Testing,Sidewalk/Curb,2025-07-05T00:00:00.000,2025-08-02T00:00:00.000,APPROVED,10373000
25EXC-02210,CAROLINA ST,20TH ST \ JACK BALESTRERI WAY,SOUTHERN HEIGHTS AVE,A. Ruiz Construction Co.,Spot Paving,Street / Roadway,2025-05-01T00:00:00.000,2025-05-23T00:00:00.000,ACTIVE,3712000
25EXC-01952,SAN JOSE AVE,RIDGE LN,SAN JOSE AVE,Pacific Gas & Electric,Spot Paving,Gas,2025-04-23T00:00:00.000,2025-05-21T00:00:00.000,ACTIVE,11462000
25EXC-02258,CESAR CHAVEZ ST,FLORIDA ST,ALABAMA ST,Pacific Bell Telephone Company,Repair Conduit,Telephone,2025-05-27T00:00:00.000,2025-06-20T00:00:00.000,APPROVED,2483101
25EXC-02257,BRANNAN ST,COLIN P KELLY JR ST,02ND ST,Pacific Gas & Electric,Install New Main,Gas,2025-06-23T00:00:00.000,2025-07-21T00:00:00.000,APPROVED,3073000
25EXC-02240,ORTEGA ST,ANGLO ALY,18TH AVE,Pacific Gas & Electric,Replace Pole,Electric:Electric:Electric,2025-05-08T00:00:00.000,2025-06-05T00:00:00.000,APPROVED,10005000
25EXC-02080,BARTLETT ST,21ST ST,22ND ST,Pacific Gas & Electric,Repair Leak,Gas,2025-05-05T00:00:00.000,2025-06-02T00:00:00.000,APPROVED,2742000
25EXC-02221,BACON ST,BAY SHORE BLVD \ EGBERT AVE,SAN BRUNO AVE,A. Ruiz Construction Co.,Spot Paving,Street / Roadway,2025-05-05T00:00:00.000,2025-05-30T00:00:00.000,ACTIVE,2579000
25EXC-02085,DIVISION ST,VERMONT ST,SAN BRUNO AVE,Pacific Gas & Electric,Install New Pole,Electric,2025-05-14T00:00:00.000,2025-05-15T00:00:00.000,APPROVED,4842000
25EXC-02231,43RD AVE,BALBOA ST,CABRILLO ST,Pacific Gas & Electric,Repair Leak,Gas,2025-05-05T00:00:00.000,2025-07-03T00:00:00.000,APPROVED,1952000
25EXC-02258,ALABAMA ST,CESAR CHAVEZ ST,,Pacific Bell Telephone Company,Repair Conduit,Telephone,2025-05-27T00:00:00.000,2025-06-20T00:00:00.000,APPROVED,21142000
25EXC-00667,LONDON ST,AVALON AVE,EXCELSIOR AVE,Pacific Gas & Electric,Replace Pole,Electric,2025-05-13T00:00:00.000,2025-05-14T00:00:00.000,APPROVED,8470000
25EXC-01407,WASHINGTON ST,LOCUST ST,SPRUCE ST,Pacific Bell Telephone Company,Repair Conduit,Telephone,2025-04-14T00:00:00.000,2025-05-09T00:00:00.000,ACTIVE,13449000
25EXC-02004,WEBSTER ST,PIXLEY ST,GREENWICH ST,Pacific Gas & Electric,Replace Pole,Sidewalk/Curb,2025-07-05T00:00:00.000,2025-08-02T00:00:00.000,APPROVED,13557000
25EXC-02260,39TH AVE,MORAGA ST,NORIEGA ST,A. Ruiz Construction Co.,Spot Paving,Street / Roadway,2025-05-05T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,1874000
25EXC-02280,KANSAS ST,25TH ST,26TH ST,J. Flores Construction Co.,Replace Service,Sewer,2025-04-30T00:00:00.000,2025-05-18T00:00:00.000,APPROVED,7739000
25EXC-01570,PARK ST,HOLLY PARK CIR,ANDOVER ST,Pacific Gas & Electric,Replace Pole,Electric,2025-05-08T00:00:00.000,2025-06-05T00:00:00.000,APPROVED,10263000
25EXC-02189,MONTEREY BLVD,FOERSTER ST,GENNESSEE ST,J. Flores Construction Co.,Replace Service,Sewer,2025-04-29T00:00:00.000,2025-05-12T00:00:00.000,ACTIVE,9278201
25EXC-01993,COLUMBUS AVE,VALLEJO ST,GREEN ST \ STOCKTON ST,Pacific Gas & Electric,Place Conduit,Electric,2025-04-22T00:00:00.000,2025-05-20T00:00:00.000,APPROVED,4294000
25EXC-02026,24TH ST,SAN BRUNO AVE,,Pacific Gas & Electric,Repair Leak,Gas,2025-05-21T00:00:00.000,2025-06-18T00:00:00.000,APPROVED,23721000
25EXC-01993,COLUMBUS AVE,BROADWAY,GRANT AVE,Pacific Gas & Electric,Place Conduit,Electric,2025-04-22T00:00:00.000,2025-05-20T00:00:00.000,APPROVED,4292000
25EXC-01998,CLAY ST,TORRENS CT,LARKIN ST,San Francisco Water Department,Repair Service,Water Service,2025-04-21T00:00:00.000,2025-06-04T00:00:00.000,APPROVED,4104002
25EXC-01577,SANCHEZ ST,22ND ST,ALVARADO ST,San Francisco Water Department,Install New Service,Water Service,2025-03-25T00:00:00.000,2025-05-08T00:00:00.000,APPROVED,11525000
25EXC-01420,BUSH ST,MASON ST,TAYLOR ST,Pacific Gas & Electric,Install Cathodic Protection,Gas,2025-04-17T00:00:00.000,2025-06-15T00:00:00.000,APPROVED,3438000
24EXC-04481,SUTTER ST,BUCHANAN ST,WEBSTER ST,Pacific Gas & Electric,Other,Gas,2025-05-06T00:00:00.000,2025-07-04T00:00:00.000,APPROVED,12336000
