permit_number,streetname,cross_street_1,cross_street_2,utility_contractor,permit_reason,utility_type,effective_date,expiration_date,status,cnn,latitude,longitude
23EXC-04680,SUNRISE WAY,START: 324-399 BLOCK,SAWYER ST,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,12270000,37.7098263,-122.4163898
23EXC-04680,BAY SHORE BLVD,SUNNYDALE AVE,COUNTY LINE,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,2827201,37.7085946,-122.4047747
23EXC-04680,TALBERT ST,SUNNYDALE AVE,COUNTY LINE,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,12371000,37.7101364,-122.4064946
23EXC-04680,HAHN ST,LELAND AVE,MRS. JACKSON WAY \ VISITACION AVE,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,6598000,37.7109426,-122.4164568
23EXC-04680,HAHN ST,MRS. JACKSON WAY \ VISITACION AVE,,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,20416000,37.7109426,-122.4164568
23EXC-04680,BAY SHORE BLVD,VISITACION AVE,SUNNYDALE AVE,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,2826201,37.7085946,-122.4047747
23EXC-04680,DESMOND ST,VISITACION AVE,SUNNYDALE AVE,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,4721000,37.7103675,-122.4054328
24EXC-03026,HOWARD ST,02ND ST,NEW MONTGOMERY ST,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,7035000,37.7921712,-122.3914348
23EXC-04680,SUNNYDALE AVE,DESMOND ST,DESMOND ST,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,12256000,37.7181672,-122.4259326
24EXC-03026,FOLSOM ST,HAWTHORNE ST,03RD ST,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,5661000,37.7723577,-122.4134198
23EXC-04680,BAY SHORE BLVD,SUNNYDALE AVE,,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,20306000,37.7085946,-122.4047747
23EXC-04680,SUNNYDALE AVE,BAY SHORE BLVD,DESMOND ST,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,12255000,37.7181672,-122.4259326
24EXC-03026,HOWARD ST,MAIN ST,BEALE ST,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,7030000,37.7921712,-122.3914348
23EXC-04680,SAWYER ST,SUNNYDALE AVE,,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,20407000,37.7111468,-122.4153188
24EXC-03026,HOWARD ST,01ST ST,MALDEN ALY,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,7033000,37.7921712,-122.3914348
23EXC-04680,SUNNYDALE AVE,PEABODY ST,RUTLAND ST,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,12259000,37.7181672,-122.4259326
24EXC-03026,HOWARD ST,MALDEN ALY,02ND ST,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,7034000,37.7921712,-122.3914348
23EXC-04680,SAWYER ST,VISITACION AVE,SUNNYDALE AVE,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,11667000,37.7111468,-122.4153188
23EXC-04680,SAWYER ST,SUNNYDALE AVE,SUNRISE WAY,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,11668000,37.7111468,-122.4153188
23EXC-04680,PEABODY ST,SUNNYDALE AVE,,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,20341000,37.7098668,-122.4076252
24EXC-03026,HARRISON ST,HAWTHORNE ST,,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,24515000,37.7846833,-122.3947087
24EXC-03026,BRYANT ST,JACK LONDON ALY,03RD ST,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,3281000,37.7786701,-122.3992195
23EXC-04680,SAWYER ST,VISITACION AVE,,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,20410000,37.7111468,-122.4153188
24EXC-03026,07TH ST,CHARLES J BRENHAM PL \ MARKET ST,ODD FELLOWS WAY \ STEVENSON ST,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,365000,,
24EXC-03026,MISSION ST,MARY ST,06TH ST,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,9099000,37.7927786,-122.3938173
23EXC-04680,PEABODY ST,SUNNYDALE AVE,END: 200-299 BLOCK,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,10319000,37.7098668,-122.4076252
24EXC-03026,HOWARD ST,FREMONT ST,01ST ST,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,7032000,37.7921712,-122.3914348
24EXC-03026,01ST ST,HOWARD ST,,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,24532000,,
24EXC-03026,HOWARD ST,SPEAR ST,MAIN ST,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,7029000,37.7921712,-122.3914348
24EXC-03026,03RD ST,MISSION CREEK,TERRY A FRANCOIS BLVD,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,183000,,
24EXC-03026,MISSION ST,07TH ST,ANGELOS ALY \ JULIA ST,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,9101000,37.7927786,-122.3938173
24EXC-03026,FOLSOM ST,03RD ST,MABINI ST,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,5662000,37.7723577,-122.4134198
24EXC-04927,JONES ST,STEVELOE PL,OFARRELL ST,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,7569000,37.7816214,-122.4121472
24EXC-04927,BOSWORTH ST,CHILTON AVE,HAMERTON AVE,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,3030101,37.7363539,-122.4418374
24EXC-04927,JONES ST,SUTTER ST,,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,24959000,37.7816214,-122.4121472
24EXC-04927,JONES ST,OFARRELL ST,,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,24945000,37.7816214,-122.4121472
24EXC-04927,OFARRELL ST,JONES ST,LEAVENWORTH ST,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,9729000,,
24EXC-04927,LAGUNA ST,TURK ST,,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,25962000,37.7922224,-122.4294654
24EXC-04927,GOLDEN GATE AVE,LARKIN ST,POLK ST,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,6264000,37.7763066,-122.4576063
24EXC-04927,HYDE ST,POST ST,,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,25156000,37.8061965,-122.4204771
24EXC-04927,TURK ST,BUCHANAN ST,WEBSTER ST,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,12727002,37.7831508,-122.4113300
24EXC-03026,BRYANT ST,02ND ST,JACK LONDON ALY,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,3280000,37.7786701,-122.3992195
24EXC-03026,02ND ST,HOWARD ST,,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,24540000,,
24EXC-03026,03RD ST,BRYANT ST,,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,23831000,,
24EXC-03026,03RD ST,SAINT FRANCIS PL,HARRISON ST,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,171000,,
24EXC-04927,BOSWORTH ST,LIPPARD AVE,,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,21964000,37.7363539,-122.4418374
24EXC-04927,BUCHANAN ST,TURK ST,,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,54063000,37.7984461,-122.4324081
24EXC-04927,19TH ST,SOUTH VAN NESS AVE,,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,24129000,37.7615681,-122.3867267
24EXC-04927,GOLDEN GATE AVE,LARKIN ST,,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,24440000,37.7763066,-122.4576063
24EXC-04927,BOSWORTH ST,LIPPARD AVE,CHILTON AVE,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,3029201,37.7363539,-122.4418374
24EXC-04927,BOSWORTH ST,CHILTON AVE,,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,21972000,37.7363539,-122.4418374
24EXC-04927,HYDE ST,POST ST,SUTTER ST,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,7122000,37.8061965,-122.4204771
24EXC-04927,BOSWORTH ST,HAMERTON AVE,,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,33390000,37.7363539,-122.4418374
24EXC-04927,23RD AVE,ANZA ST,,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,27535000,37.7643010,-122.4814968
24EXC-03026,02ND ST,BRYANT ST,,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,24490000,,
24EXC-03026,03RD ST,KING ST,BERRY ST,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,181000,,
24EXC-03026,03RD ST,BERRY ST,MISSION CREEK,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,182000,,
24EXC-03026,03RD ST,BERRY ST,,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,23796000,,
24EXC-04927,SUTTER ST,TAYLOR ST,,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,24958000,37.7899382,-122.4030464
24EXC-04927,TURK ST,LAGUNA ST,BUCHANAN ST,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,12727001,37.7831508,-122.4113300
24EXC-04927,23RD AVE,BALBOA ST,,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,27533000,37.7643010,-122.4814968
24EXC-03026,03RD ST,KING ST,,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,23799000,,
24EXC-03026,BRYANT ST,03RD ST,RITCH ST,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,3282000,37.7786701,-122.3992195
24EXC-04927,LEAVENWORTH ST,OFARRELL ST,,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,25153000,37.7929927,-122.4161269
24EXC-04927,BOSWORTH ST,LIPPARD AVE,CHILTON AVE,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,3029101,37.7363539,-122.4418374
24EXC-04927,23RD AVE,ANZA ST,BALBOA ST,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,1215000,37.7643010,-122.4814968
24EXC-04927,SUTTER ST,TAYLOR ST,JONES ST,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,12325000,37.7899382,-122.4030464
24EXC-04927,HYDE ST,SUTTER ST,,Mitchell Engineering. Inc.,Install New Main,Street / Roadway:Curb Ramp:Sewer,2025-01-08,2025-06-30,APPROVED,25163000,37.8061965,-122.4204771
24EXC-03026,07TH ST,MISSION ST,,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,24315000,,
24EXC-03026,BEALE ST,HOWARD ST,,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,24506000,37.7918001,-122.3966261
24EXC-03026,03RD ST,FOLSOM ST,SAINT FRANCIS PL,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,170000,,
23EXC-04680,SUNNYDALE AVE,HAHN ST \ MRS. JACKSON WAY,SANTOS ST,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,12267000,37.7181672,-122.4259326
24EXC-03026,BRYANT ST,STERLING ST,02ND ST,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,3279000,37.7786701,-122.3992195
24EXC-03026,03RD ST,FOLSOM ST,,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,24583000,,
23EXC-04680,SUNNYDALE AVE,DESMOND ST,TALBERT ST,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,12257000,37.7181672,-122.4259326
23EXC-04680,SUNRISE WAY,SAWYER ST,HAHN ST,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,12271000,37.7098263,-122.4163898
24EXC-03026,BRYANT ST,JACK LONDON ALY,,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,24508000,37.7786701,-122.3992195
24EXC-03026,03RD ST,HARRISON ST,PERRY ST,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,172000,,
23EXC-04680,SUNNYDALE AVE,TALBERT ST,,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,20342000,37.7181672,-122.4259326
24EXC-03026,03RD ST,HARRISON ST,,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,24513000,,
23EXC-04680,TALBERT ST,VISITACION AVE,SUNNYDALE AVE,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,12370000,37.7101364,-122.4064946
23EXC-04680,SUNNYDALE AVE,SAWYER ST,HAHN ST \ MRS. JACKSON WAY,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,12266000,37.7181672,-122.4259326
23EXC-04680,PEABODY ST,VISITACION AVE,SUNNYDALE AVE,Pacific Gas & Electric,Install New Main,Gas,2024-10-14,2025-11-20,ACTIVE,10318000,37.7098668,-122.4076252
24EXC-03026,06TH ST,MISSION ST,,"NTK Construction, Inc",Repair Main,Catch Basin:Sewer,2024-09-18,2025-10-10,APPROVED,24293000,,
24EXC-02891,MASONIC AVE,MCALLISTER ST,,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,26382000,37.7683633,-122.4449306
24EXC-02891,24TH ST,VICKSBURG ST,,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,25647000,37.7541004,-122.3881595
24EXC-02891,SANCHEZ ST,24TH ST,JERSEY ST,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,11529000,37.7586287,-122.4303569
24EXC-02891,24TH ST,FAIR OAKS ST,,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,25605000,37.7541004,-122.3881595
24EXC-02891,HOMESTEAD ST,24TH ST,25TH ST,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,7019000,37.7501697,-122.4394686
24EXC-02891,24TH ST,VICKSBURG ST,SANCHEZ ST,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,1360000,37.7541004,-122.3881595
24EXC-02891,MCALLISTER ST,BRODERICK ST,BAKER ST,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,8905000,37.7756485,-122.4538957
24EXC-02891,24TH ST,SANCHEZ ST,,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,25649000,37.7541004,-122.3881595
24EXC-02891,DOUGLASS ST,25TH ST,CLIPPER ST,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,4957000,37.7618128,-122.4394676
24EXC-02891,24TH ST,GUERRERO ST,FAIR OAKS ST,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,1353000,37.7541004,-122.3881595
24EXC-02891,SANCHEZ ST,23RD ST,ELIZABETH ST,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,11527000,37.7586287,-122.4303569
24EXC-02891,24TH ST,DIAMOND ST,,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,25760000,37.7541004,-122.3881595
24EXC-02891,LYON ST,MCALLISTER ST,,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,26374000,37.7972474,-122.4471345
24EXC-02891,20TH ST,COLLINGWOOD ST,DIAMOND ST,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,1068000,37.7586094,-122.4278583
24EXC-02891,BAKER ST,MCALLISTER ST,,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,26358000,37.7778429,-122.4417905
24EXC-02891,VICKSBURG ST,24TH ST,JERSEY ST,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,13278000,37.7508376,-122.4284669
24EXC-02891,24TH ST,DOUGLASS ST,HOMESTEAD ST,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,1365000,37.7541004,-122.3881595
24EXC-02891,24TH ST,CHURCH ST,VICKSBURG ST,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,1359000,37.7541004,-122.3881595
24EXC-02891,24TH ST,CASTRO ST,DIAMOND ST,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,1363000,37.7541004,-122.3881595
24EXC-02891,24TH ST,DOLORES ST,MERSEY ST,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,1356000,37.7541004,-122.3881595
24EXC-02891,20TH ST,CASTRO ST,,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,25756000,37.7586094,-122.4278583
24EXC-02891,20TH ST,DIAMOND ST,EUREKA ST,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,1069000,37.7586094,-122.4278583
24EXC-02891,25TH ST,DOUGLASS ST,,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,25763000,37.7529438,-122.3863617
24EXC-02891,CENTRAL AVE,MCALLISTER ST,,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,26373000,37.7696899,-122.4435136
24EXC-02891,VICKSBURG ST,ELIZABETH ST,24TH ST,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,13277000,37.7508376,-122.4284669
24EXC-02891,24TH ST,DIAMOND ST,DOUGLASS ST,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,1364000,37.7541004,-122.3881595
24EXC-02891,24TH ST,QUANE ST,DOLORES ST,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,1355000,37.7541004,-122.3881595
24EXC-02891,BRODERICK ST,MCALLISTER ST,,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,26072000,37.7973974,-122.4440496
24EXC-02891,24TH ST,QUANE ST,,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,25616000,37.7541004,-122.3881595
24EXC-02891,24TH ST,MERSEY ST,,Basset Engineering,Install New Main,Street / Roadway:Curb Ramp:Sewer,2024-09-23,2025-10-03,APPROVED,25618000,37.7541004,-122.3881595
